date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:52:16	9197/9197	---M-Z	200	added ('OK')	text/html	etag:%2223ed-464d55bee5400-gzip%22	http://www.doc.ic.ac.uk/lab/secondyear/spim/node16.html	/home/bruno/code/assembly/mips/doc/reference/www.doc.ic.ac.uk/lab/secondyear/spim/node16.html	(from http://www.doc.ic.ac.uk/lab/secondyear/spim/spim.html)
18:52:17	5448/5448	---M-Z	200	added ('OK')	text/html	etag:%221548-464d55bee5400-gzip%22	http://www.doc.ic.ac.uk/lab/secondyear/spim/node17.html	/home/bruno/code/assembly/mips/doc/reference/www.doc.ic.ac.uk/lab/secondyear/spim/node17.html	(from http://www.doc.ic.ac.uk/lab/secondyear/spim/spim.html)
18:52:18	3669/3669	---M-Z	200	added ('OK')	text/html	etag:%22e55-464d55bee5400-gzip%22	http://www.doc.ic.ac.uk/lab/secondyear/spim/node18.html	/home/bruno/code/assembly/mips/doc/reference/www.doc.ic.ac.uk/lab/secondyear/spim/node18.html	(from http://www.doc.ic.ac.uk/lab/secondyear/spim/spim.html)
18:52:19	5000/5000	---M-Z	200	added ('OK')	text/html	etag:%221388-464d55bee5400-gzip%22	http://www.doc.ic.ac.uk/lab/secondyear/spim/node19.html	/home/bruno/code/assembly/mips/doc/reference/www.doc.ic.ac.uk/lab/secondyear/spim/node19.html	(from http://www.doc.ic.ac.uk/lab/secondyear/spim/spim.html)
18:52:20	8796/8796	---M-Z	200	added ('OK')	text/html	etag:%22225c-464d55bee5400-gzip%22	http://www.doc.ic.ac.uk/lab/secondyear/spim/node20.html	/home/bruno/code/assembly/mips/doc/reference/www.doc.ic.ac.uk/lab/secondyear/spim/node20.html	(from http://www.doc.ic.ac.uk/lab/secondyear/spim/spim.html)
18:52:21	2538/2538	---M-Z	200	added ('OK')	text/html	etag:%229ea-464d55bee5400-gzip%22	http://www.doc.ic.ac.uk/lab/secondyear/spim/node21.html	/home/bruno/code/assembly/mips/doc/reference/www.doc.ic.ac.uk/lab/secondyear/spim/node21.html	(from http://www.doc.ic.ac.uk/lab/secondyear/spim/spim.html)
18:52:22	3054/3054	---M-Z	200	added ('OK')	text/html	etag:%22bee-464d55bee5400-gzip%22	http://www.doc.ic.ac.uk/lab/secondyear/spim/node22.html	/home/bruno/code/assembly/mips/doc/reference/www.doc.ic.ac.uk/lab/secondyear/spim/node22.html	(from http://www.doc.ic.ac.uk/lab/secondyear/spim/spim.html)
18:52:23	5310/5310	---M-Z	200	added ('OK')	text/html	etag:%2214be-464d55bee5400-gzip%22	http://www.doc.ic.ac.uk/lab/secondyear/spim/node23.html	/home/bruno/code/assembly/mips/doc/reference/www.doc.ic.ac.uk/lab/secondyear/spim/node23.html	(from http://www.doc.ic.ac.uk/lab/secondyear/spim/spim.html)
18:52:24	8746/8746	---M-Z	200	added ('OK')	text/html	etag:%22222a-464d55bee5400-gzip%22	http://www.doc.ic.ac.uk/lab/secondyear/spim/node24.html	/home/bruno/code/assembly/mips/doc/reference/www.doc.ic.ac.uk/lab/secondyear/spim/node24.html	(from http://www.doc.ic.ac.uk/lab/secondyear/spim/spim.html)
18:52:25	2654/2654	---M-Z	200	added ('OK')	text/html	etag:%22a5e-464d55bee5400-gzip%22	http://www.doc.ic.ac.uk/lab/secondyear/spim/node25.html	/home/bruno/code/assembly/mips/doc/reference/www.doc.ic.ac.uk/lab/secondyear/spim/node25.html	(from http://www.doc.ic.ac.uk/lab/secondyear/spim/spim.html)
18:52:26	297/297	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2028%20Jul%202023%2016:52:26%20GMT	http://www.doc.ic.ac.uk/usr/share/latex2html/icons/up.png	/home/bruno/code/assembly/mips/doc/reference/www.doc.ic.ac.uk/usr/share/latex2html/icons/up.png	(from http://www.doc.ic.ac.uk/lab/secondyear/spim/node1.html)
18:52:27	299/299	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2028%20Jul%202023%2016:52:27%20GMT	http://www.doc.ic.ac.uk/usr/share/latex2html/icons/prev.png	/home/bruno/code/assembly/mips/doc/reference/www.doc.ic.ac.uk/usr/share/latex2html/icons/prev.png	(from http://www.doc.ic.ac.uk/lab/secondyear/spim/node1.html)
18:52:28	216/216	---M--	200	added ('OK')	image/png	etag:%22d8-464d55bdf11c0%22	http://www.doc.ic.ac.uk/lab/secondyear/spim/img2.png	/home/bruno/code/assembly/mips/doc/reference/www.doc.ic.ac.uk/lab/secondyear/spim/img2.png	(from http://www.doc.ic.ac.uk/lab/secondyear/spim/node2.html)
18:52:29	303/303	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2028%20Jul%202023%2016:52:29%20GMT	http://www.doc.ic.ac.uk/usr/share/latex2html/icons/crossref.png	/home/bruno/code/assembly/mips/doc/reference/www.doc.ic.ac.uk/usr/share/latex2html/icons/crossref.png	(from http://www.doc.ic.ac.uk/lab/secondyear/spim/node3.html)
18:52:30	24949/24949	---M--	200	added ('OK')	image/png	etag:%226175-464d55bdf11c0%22	http://www.doc.ic.ac.uk/lab/secondyear/spim/img3.png	/home/bruno/code/assembly/mips/doc/reference/www.doc.ic.ac.uk/lab/secondyear/spim/img3.png	(from http://www.doc.ic.ac.uk/lab/secondyear/spim/node5.html)
